2,2.3901,146.6457
3,0.0321,79.6338
4,0.0318,18.3255
5,0.0675,1.8003
6,0.0873,1.306
7,0.4878,2.5321
8,0.6737,10.1615
9,0.288,8.5737
10,0.3637,5.0248
11,0.499,4.3682
12,0.665,7.3615
13,3.108,6.2538
14,1.1384,19.1864
15,1.4071,11.1397
16,1.9279,11.6661
17,2.2345,12.2778
18,9.7942,59.9951
19,11.9478,34.9653
20,13.0208,25.9393
21,10.435,23.2558
22,7.7583,18.8164
23,6.7068,19.1506
24,7.4598,28.1964
25,8.9854,22.3521
26,10.3392,43.0659
27,12.3094,27.2652
28,13.9293,22.5488
29,16.0135,21.4663
30,24.1147,23.2215
31,21.8579,38.7505
32,23.6181,28.4784
33,26.2989,58.6001
34,30.0126,46.6576
35,32.6174,45.1315
36,43.7408,37.741
37,50.4717,45.3074
38,44.598,79.8337
39,47.6287,123.0727
40,53.7962,284.5753
41,58.4467,154.9296
42,66.685,122.2676
43,75.9146,60.1195
44,79.7551,52.5848
45,87.0294,62.4803
46,112.606,95.8631
47,102.4504,88.4187
48,111.7085,127.136
49,120.071,128.8664
50,129.288,169.4069
51,139.5344,140.7516
52,152.6349,164.8751
53,160.1589,177.2565
54,175.4628,137.4553
55,208.2588,185.6524
56,215.2665,123.509
57,225.4102,206.6953
58,239.7772,138.4229
59,263.8428,291.4564
60,283.6678,251.101
61,308.5041,349.0174
62,294.1185,366.5459
63,314.7763,319.136
64,333.206,230.0737
65,355.6255,312.7237
66,374.299,292.976
67,402.364,216.5299
68,418.6237,281.7672
69,447.6099,294.2073
70,463.6866,324.1731
71,497.4277,227.4969
72,516.7586,414.5385
73,539.6224,350.2857
74,572.3773,366.8811
75,664.5447,364.2603
76,700.762,450.61
77,741.6281,358.451
78,763.7862,366.003
79,752.6744,542.0919
80,836.5663,448.5075
81,934.2328,511.7071
82,904.5023,771.6777
83,982.4873,437.3666
84,965.1476,422.2274
85,1091.1297,614.7685
86,1138.6586,549.4014
87,1104.3106,534.765
88,1148.475,731.9897
89,1191.4633,651.8616
90,1251.1063,609.6474
, ,
2,0.9889,2.9299
3,0.0119,0.0454
4,0.3694,1.1884
5,0.0181,0.0655
6,0.0199,0.0364
7,0.0249,0.114
8,0.0471,0.1759
9,0.0504,0.2111
10,0.0664,0.3322
11,0.0691,0.3384
12,0.0915,0.3634
13,0.1123,0.9218
14,0.1707,0.2522
15,0.1381,0.1805
16,0.1919,0.6891
17,0.1851,0.2357
18,0.2007,1.1888
19,0.3482,1.3057
20,0.4607,1.1777
21,0.4322,1.3869
22,0.3881,1.804
23,0.388,2.4123
24,0.4477,2.1449
25,0.5463,2.504
26,0.5448,3.4723
27,0.5926,2.8225
28,0.663,2.5076
29,0.8506,3.2644
30,0.9605,3.415
31,1.1664,4.7558
32,4.1309,3.3468
33,1.4583,2.7893
34,2.6029,3.1891
35,1.9624,8.794
36,1.5515,4.4231
37,1.5325,10.3062
38,3.0387,9.6316
39,1.9012,6.5004
40,2.1202,6.3774
41,2.2316,7.5585
42,3.5901,5.4637
43,3.7632,3.5836
44,6.9545,8.8689
45,3.5436,15.0055
46,3.2613,15.5264
47,6.1646,10.7504
48,4.4448,6.963
49,4.6191,7.8913
50,4.3971,6.7253
